Standard
Cowdenbeath
Falkirk
Queen of Sth
Alloa
Raith Rvs
Dumbarton
Morton
Ayr
Dunfermline
Brechin
Arbroath
Cove Rangers
Queens Park
Airdrie Utd
Almeria
Espanol
Granada
La Coruna
Malaga
Ath Bilbao
Sevilla
Valencia
Barcelona
Elche
Celta
Getafe
Eibar
Sociedad
Levante
Villarreal
Real Madrid
Cordoba
Vallecano
Ath Madrid
Las Palmas
Betis
Sp Gijon
Osasuna
Alaves
Leganes
Girona
Valladolid
Huesca
Mallorca
Cadiz
Llagostera
Numancia
Barcelona B
Recreativo
Zaragoza
Albacete
Alcorcon
Santander
Mirandes
Lugo
Ponferradina
Tenerife
Sabadell
Gimnastic
Oviedo
Ath Bilbao B
Reus Deportiu
Sevilla B
UCAM Murcia
Lorca
Leonesa
Extremadura UD
Rayo Majadahonda
Fuenlabrada
Castellon
Logrones
Cartagena
Ibiza
Sociedad B
Amorebieta
Burgos
Villarreal B
Andorra
Ferrol
Eldense
Balikesirspor
Akhisar Belediyespor
Rizespor
Genclerbirligi
Bursaspor
Galatasaray
Buyuksehyr
Kasimpasa
Eskisehirspor
Konyaspor
Mersin Idman Yurdu
Besiktas
Erciyesspor
Trabzonspor
Fenerbahce
Karabukspor
Sivasspor
Gaziantepspor
Antalyaspor
Osmanlispor
Kayserispor
Adanaspor
Alanyaspor
Goztep
Yeni Malatyaspor
Ankaragucu
Erzurum BB
Denizlispor
Gaziantep
Karagumruk
Hatayspor
Altay
Ad. Demirspor
Giresunspor
Istanbulspor
Umraniyespor
Pendikspor
Samsunspor
